permno,company_name,date,total_returns,price,share_outstanding
10001,ENERGY INC,12/31/2009 0:00,0.162621,10.3,4361
10001,ENERGY INC,1/31/2010 0:00,-0.018932,10.06,4361
10001,ENERGY INC,2/28/2010 0:00,-0.000656,10.0084,4361
10001,ENERGY INC,3/31/2010 0:00,0.020643,10.17,4361
10001,ENERGY INC,4/30/2010 0:00,0.124385,11.39,6070
10001,ENERGY INC,5/31/2010 0:00,0.004829,11.4,6071
10001,ENERGY INC,6/30/2010 0:00,-0.043421,10.86,6080
10001,GAS NATURAL INC,7/31/2010 0:00,0.083333,11.72,6080
10001,GAS NATURAL INC,8/31/2010 0:00,-0.111263,10.371,6073
10001,GAS NATURAL INC,9/30/2010 0:00,0.07656,11.12,6073
10001,GAS NATURAL INC,10/31/2010 0:00,0.032815,11.4399,6074
10001,GAS NATURAL INC,11/30/2010 0:00,-0.118436,10.04,7834
10001,GAS NATURAL INC,12/31/2010 0:00,0.052291,10.52,7834
10001,GAS NATURAL INC,1/31/2011 0:00,0.028992,10.78,7834
10001,GAS NATURAL INC,2/28/2011 0:00,0.022727,10.98,7834
10001,GAS NATURAL INC,3/31/2011 0:00,0.072404,11.73,7834
10001,GAS NATURAL INC,4/30/2011 0:00,-0.038789,11.23,8151
10001,GAS NATURAL INC,5/31/2011 0:00,0.02805,11.5,8151
10001,GAS NATURAL INC,6/30/2011 0:00,0.008261,11.55,8151
10001,GAS NATURAL INC,7/31/2011 0:00,-0.028139,11.18,8151
10001,GAS NATURAL INC,8/31/2011 0:00,-0.013864,10.98,8152
10001,GAS NATURAL INC,9/30/2011 0:00,0.005009,10.99,8152
10001,GAS NATURAL INC,10/31/2011 0:00,0.005005,11,8152
10001,GAS NATURAL INC,11/30/2011 0:00,-0.005,10.9,8154
10001,GAS NATURAL INC,12/31/2011 0:00,0.051835,11.42,8154
10001,GAS NATURAL INC,1/31/2012 0:00,-0.019702,11.15,8154
10001,GAS NATURAL INC,2/29/2012 0:00,0.005005,11.1608,8154
10001,GAS NATURAL INC,3/31/2012 0:00,0.04876,11.66,8154
10001,GAS NATURAL INC,4/30/2012 0:00,-0.015,11.4401,8155
10001,GAS NATURAL INC,5/31/2012 0:00,-0.084361,10.43,8156
10001,GAS NATURAL INC,6/30/2012 0:00,-0.027325,10.1,8156
10001,GAS NATURAL INC,7/31/2012 0:00,0.009406,10.15,8156
10001,GAS NATURAL INC,8/31/2012 0:00,-0.012315,9.98,8157
10001,GAS NATURAL INC,9/30/2012 0:00,0.000501,9.94,8157
10001,GAS NATURAL INC,10/31/2012 0:00,0.012676,10.021,8157
10001,GAS NATURAL INC,11/30/2012 0:00,-0.045504,9.52,8157
10001,GAS NATURAL INC,12/31/2012 0:00,-0.015231,9.33,8157
10001,GAS NATURAL INC,1/31/2013 0:00,0.062701,9.87,8157
10001,GAS NATURAL INC,2/28/2013 0:00,0.011651,9.94,8157
10001,GAS NATURAL INC,3/31/2013 0:00,0.030684,10.2,8157
10001,GAS NATURAL INC,4/30/2013 0:00,0.017157,10.33,8390
10001,GAS NATURAL INC,5/31/2013 0:00,-0.000484,10.28,8390
10001,GAS NATURAL INC,6/30/2013 0:00,0.006323,10.3,8647
10001,GAS NATURAL INC,7/31/2013 0:00,0.016019,10.42,10147
10001,GAS NATURAL INC,8/31/2013 0:00,-0.016795,10.2,10372
10001,GAS NATURAL INC,9/30/2013 0:00,0.004412,10.2,10372
10001,GAS NATURAL INC,10/31/2013 0:00,-0.018137,9.97,10372
10001,GAS NATURAL INC,11/30/2013 0:00,-0.134905,8.58,10452
10001,GAS NATURAL INC,12/31/2013 0:00,-0.058858,8.03,10452
10001,GAS NATURAL INC,1/31/2014 0:00,0.147572,9.17,10452
10001,GAS NATURAL INC,2/28/2014 0:00,0.025627,9.36,10452
10001,GAS NATURAL INC,3/31/2014 0:00,0.079594,10.06,10452
10001,GAS NATURAL INC,4/30/2014 0:00,0.087972,10.9,10488
10001,GAS NATURAL INC,5/31/2014 0:00,-0.033486,10.49,10488
10001,GAS NATURAL INC,6/30/2014 0:00,0.009056,10.54,10488
10001,GAS NATURAL INC,7/31/2014 0:00,0.22723,12.89,10488
10001,GAS NATURAL INC,8/31/2014 0:00,-0.121412,11.28,10488
10001,GAS NATURAL INC,9/30/2014 0:00,0.050975,11.81,10488
10001,GAS NATURAL INC,10/31/2014 0:00,-0.03514,11.35,10488
10001,GAS NATURAL INC,11/30/2014 0:00,0.017181,11.5,10488
10001,GAS NATURAL INC,12/31/2014 0:00,-0.037826,11.02,10488
10001,GAS NATURAL INC,1/31/2015 0:00,-0.115245,9.75,10488
10001,GAS NATURAL INC,2/28/2015 0:00,0.035897,10.1,10488
10001,GAS NATURAL INC,3/31/2015 0:00,-0.000495,9.96,10452
10001,GAS NATURAL INC,4/30/2015 0:00,0.011044,10.07,10452
10001,GAS NATURAL INC,5/31/2015 0:00,-0.006951,10,10488
10001,GAS NATURAL INC,6/30/2015 0:00,0.03,10.3,10493
10001,GAS NATURAL INC,7/31/2015 0:00,-0.013107,10.03,10493
10001,GAS NATURAL INC,8/31/2015 0:00,-0.111665,8.91,10500
10001,GAS NATURAL INC,9/30/2015 0:00,0.003367,8.94,10500
10001,GAS NATURAL INC,10/31/2015 0:00,0.001678,8.82,10500
10001,GAS NATURAL INC,11/30/2015 0:00,-0.00907,8.74,10505
10001,GAS NATURAL INC,12/31/2015 0:00,-0.132151,7.45,10505
10001,GAS NATURAL INC,1/31/2016 0:00,0.116779,8.32,10505
10001,GAS NATURAL INC,2/29/2016 0:00,-0.055288,7.86,10505
10001,GAS NATURAL INC,3/31/2016 0:00,-0.006361,7.81,10508
10001,GAS NATURAL INC,4/30/2016 0:00,-0.055698,7.3,10512
10001,GAS NATURAL INC,5/31/2016 0:00,-0.021918,7.14,10512
10001,GAS NATURAL INC,6/30/2016 0:00,-0.021008,6.99,10512
10001,GAS NATURAL INC,7/31/2016 0:00,0.026466,7.1,10512
10001,GAS NATURAL INC,8/31/2016 0:00,0.03662,7.36,10516
10001,GAS NATURAL INC,9/30/2016 0:00,0.04212,7.67,10516
10001,GAS NATURAL INC,10/31/2016 0:00,0.619948,12.35,10520
10001,GAS NATURAL INC,11/30/2016 0:00,0.012146,12.5,10520
10001,GAS NATURAL INC,12/31/2016 0:00,0.01,12.55,10520
10001,GAS NATURAL INC,1/31/2017 0:00,0.007968,12.65,10520
10001,GAS NATURAL INC,2/28/2017 0:00,0,12.65,10520
10001,GAS NATURAL INC,3/31/2017 0:00,0.009881,12.7,10520
10001,GAS NATURAL INC,4/30/2017 0:00,-0.015748,12.5,10520
10001,GAS NATURAL INC,5/31/2017 0:00,0.016,12.7,10520
10001,GAS NATURAL INC,6/30/2017 0:00,0.023622,12.925,10520
10001,GAS NATURAL INC,7/31/2017 0:00,0.001934,12.95,10520
10001,GAS NATURAL INC,8/31/2017 0:00,0.011583,,10520
10006,A C F INDUSTRIES INC,1/31/1975 0:00,0.231061,40.625,5628
10006,A C F INDUSTRIES INC,2/28/1975 0:00,0.062154,42.5,5628
10006,A C F INDUSTRIES INC,3/31/1975 0:00,-0.032353,41.125,5628
10006,A C F INDUSTRIES INC,4/30/1975 0:00,-0.057751,38.75,5700
10006,A C F INDUSTRIES INC,5/31/1975 0:00,0.18129,45.125,5700
10006,A C F INDUSTRIES INC,6/30/1975 0:00,-0.049861,42.875,5700
10006,A C F INDUSTRIES INC,7/31/1975 0:00,0.005831,43.125,5700
10006,A C F INDUSTRIES INC,8/31/1975 0:00,-0.054493,40.125,5700
10006,A C F INDUSTRIES INC,9/30/1975 0:00,-0.062305,37.625,5700
10006,A C F INDUSTRIES INC,10/31/1975 0:00,0.016611,38.25,5700
10006,A C F INDUSTRIES INC,11/30/1975 0:00,0.023529,38.5,5700
10006,A C F INDUSTRIES INC,12/31/1975 0:00,0,38.5,5700
10006,A C F INDUSTRIES INC,1/31/1976 0:00,0.211039,46.625,5700
10006,A C F INDUSTRIES INC,2/29/1976 0:00,0.035389,47.625,5700
10006,A C F INDUSTRIES INC,3/31/1976 0:00,0.036745,49.375,5700
10006,A C F INDUSTRIES INC,4/30/1976 0:00,0.012658,50,5783
10006,A C F INDUSTRIES INC,5/31/1976 0:00,-0.017,48.5,5783
10006,A C F INDUSTRIES INC,6/30/1976 0:00,0.109536,35.875,8675
10006,A C F INDUSTRIES INC,7/31/1976 0:00,-0.052265,34,8675
10006,A C F INDUSTRIES INC,8/31/1976 0:00,0.002206,33.625,8675
10006,A C F INDUSTRIES INC,9/30/1976 0:00,0.040892,35,8675
10006,A C F INDUSTRIES INC,10/31/1976 0:00,-0.085714,32,8675
10006,A C F INDUSTRIES INC,11/30/1976 0:00,0.010156,31.875,8675
10006,A C F INDUSTRIES INC,12/31/1976 0:00,0.101961,35.125,8675
10006,A C F INDUSTRIES INC,1/31/1977 0:00,0.014235,35.625,8675
10006,A C F INDUSTRIES INC,2/28/1977 0:00,-0.022456,34.375,8675
10006,A C F INDUSTRIES INC,3/31/1977 0:00,0.003636,34.5,8675
10006,A C F INDUSTRIES INC,4/30/1977 0:00,0.050725,36.25,8675
10006,A C F INDUSTRIES INC,5/31/1977 0:00,0.017241,36.375,8675
10006,A C F INDUSTRIES INC,6/30/1977 0:00,-0.010309,36,8687
10006,A C F INDUSTRIES INC,7/31/1977 0:00,-0.034722,34.75,8687
10006,A C F INDUSTRIES INC,8/31/1977 0:00,-0.035971,33,8728
10006,A C F INDUSTRIES INC,9/30/1977 0:00,0.056818,34.875,8728
10006,A C F INDUSTRIES INC,10/31/1977 0:00,-0.035842,33.625,8728
10006,A C F INDUSTRIES INC,11/30/1977 0:00,0.018587,33.75,8728
10006,A C F INDUSTRIES INC,12/31/1977 0:00,0.022222,34.5,8731
10006,A C F INDUSTRIES INC,1/31/1978 0:00,-0.123188,30.25,8731
10006,A C F INDUSTRIES INC,2/28/1978 0:00,-0.016529,29.25,8731
10006,A C F INDUSTRIES INC,3/31/1978 0:00,0.038462,30.375,8731
10006,A C F INDUSTRIES INC,4/30/1978 0:00,0.106996,33.625,8731
10006,A C F INDUSTRIES INC,5/31/1978 0:00,0.011896,33.5,8731
10006,A C F INDUSTRIES INC,6/30/1978 0:00,0.003731,33.625,8731
10006,A C F INDUSTRIES INC,7/31/1978 0:00,0.063197,35.75,8731
10006,A C F INDUSTRIES INC,8/31/1978 0:00,0.084615,38.25,8731
10006,A C F INDUSTRIES INC,9/30/1978 0:00,-0.075163,35.375,8737
10006,A C F INDUSTRIES INC,10/31/1978 0:00,-0.095406,32,8737
10006,A C F INDUSTRIES INC,11/30/1978 0:00,-0.007031,31.25,8737
10006,A C F INDUSTRIES INC,12/31/1978 0:00,-0.016,30.75,8758
10006,A C F INDUSTRIES INC,1/31/1979 0:00,-0.012195,30.375,8758
10006,A C F INDUSTRIES INC,2/28/1979 0:00,-0.011523,29.5,8758
10006,A C F INDUSTRIES INC,3/31/1979 0:00,0.084746,32,8758
10006,A C F INDUSTRIES INC,4/30/1979 0:00,0.078125,34.5,8760
10006,A C F INDUSTRIES INC,5/31/1979 0:00,-0.03087,32.875,8760
10006,A C F INDUSTRIES INC,6/30/1979 0:00,0.072243,35.25,8760
10006,A C F INDUSTRIES INC,7/31/1979 0:00,0.007092,35.5,8760
10006,A C F INDUSTRIES INC,8/31/1979 0:00,0.093239,38.25,8760
10006,A C F INDUSTRIES INC,9/30/1979 0:00,-0.03268,37,8760
10006,A C F INDUSTRIES INC,10/31/1979 0:00,-0.135135,32,8760
10006,A C F INDUSTRIES INC,11/30/1979 0:00,0.087812,34.25,8760
10006,A C F INDUSTRIES INC,12/31/1979 0:00,0,34.25,8859
10006,A C F INDUSTRIES INC,1/31/1980 0:00,0.211679,41.5,8859
10006,A C F INDUSTRIES INC,2/29/1980 0:00,-0.058795,38.5,8859
10006,A C F INDUSTRIES INC,3/31/1980 0:00,-0.172078,31.875,8859
10006,A C F INDUSTRIES INC,4/30/1980 0:00,-0.027451,31,8859
10006,A C F INDUSTRIES INC,5/31/1980 0:00,0.084677,33,8859
10006,A C F INDUSTRIES INC,6/30/1980 0:00,-0.007576,32.75,8889
10006,A C F INDUSTRIES INC,7/31/1980 0:00,0.091603,35.75,8889
10006,A C F INDUSTRIES INC,8/31/1980 0:00,0.059441,37.25,8889
10006,A C F INDUSTRIES INC,9/30/1980 0:00,0.144295,42.625,8922
10006,A C F INDUSTRIES INC,10/31/1980 0:00,0,42.625,8922
10006,A C F INDUSTRIES INC,11/30/1980 0:00,0.120235,47.75,8922
10006,A C F INDUSTRIES INC,12/31/1980 0:00,-0.02356,46,9009
10006,A C F INDUSTRIES INC,1/31/1981 0:00,0.108696,51,9009
10006,A C F INDUSTRIES INC,2/28/1981 0:00,-0.022059,49.875,9009
10006,A C F INDUSTRIES INC,3/31/1981 0:00,-0.005013,49,9009
10006,A C F INDUSTRIES INC,4/30/1981 0:00,-0.066327,45.75,9009
10006,A C F INDUSTRIES INC,5/31/1981 0:00,0.066995,48.125,9009
10006,A C F INDUSTRIES INC,6/30/1981 0:00,-0.075325,44.5,9068
10006,A C F INDUSTRIES INC,7/31/1981 0:00,-0.039326,42.75,9068
10006,A C F INDUSTRIES INC,8/31/1981 0:00,-0.027719,40.875,9068
10006,A C F INDUSTRIES INC,9/30/1981 0:00,-0.122324,35.875,9100
10006,A C F INDUSTRIES INC,10/31/1981 0:00,0.02439,36.75,9100
10006,A C F INDUSTRIES INC,11/30/1981 0:00,0.066395,38.5,9100
10006,A C F INDUSTRIES INC,12/31/1981 0:00,0.061688,40.875,9156
10006,A C F INDUSTRIES INC,1/31/1982 0:00,-0.094801,37,9156
10006,A C F INDUSTRIES INC,2/28/1982 0:00,0,37,9156
10006,A C F INDUSTRIES INC,3/31/1982 0:00,-0.062432,34,9156
10006,A C F INDUSTRIES INC,4/30/1982 0:00,0.073529,36.5,9156
10006,A C F INDUSTRIES INC,5/31/1982 0:00,-0.070137,33.25,9156
10006,A C F INDUSTRIES INC,6/30/1982 0:00,-0.071429,30.875,9208
10006,A C F INDUSTRIES INC,7/31/1982 0:00,-0.076923,28.5,9208
10006,A C F INDUSTRIES INC,8/31/1982 0:00,0.107544,30.875,9208
10006,A C F INDUSTRIES INC,9/30/1982 0:00,0.040486,32.125,7877
10006,A C F INDUSTRIES INC,10/31/1982 0:00,-0.035019,31,7877
10006,A C F INDUSTRIES INC,11/30/1982 0:00,0.046452,31.75,7889
10006,A C F INDUSTRIES INC,12/31/1982 0:00,0.031496,32.75,8217
10006,A C F INDUSTRIES INC,1/31/1983 0:00,0.026718,33.625,8217
10006,A C F INDUSTRIES INC,2/28/1983 0:00,-0.038959,31.625,8217
10006,A C F INDUSTRIES INC,3/31/1983 0:00,0.007905,31.875,8217
10006,A C F INDUSTRIES INC,4/30/1983 0:00,0.066667,34,8217
10006,A C F INDUSTRIES INC,5/31/1983 0:00,-0.008088,33.375,8275
10006,A C F INDUSTRIES INC,6/30/1983 0:00,0.033708,34.5,8275
10006,A C F INDUSTRIES INC,7/31/1983 0:00,-0.014493,34,8275
10006,A C F INDUSTRIES INC,8/31/1983 0:00,-0.055882,31.75,8275
10006,A C F INDUSTRIES INC,9/30/1983 0:00,0.574803,50,8319
10006,A C F INDUSTRIES INC,10/31/1983 0:00,-0.025,48.75,8319
10006,A C F INDUSTRIES INC,11/30/1983 0:00,0.053333,51,8362
10006,A C F INDUSTRIES INC,12/31/1983 0:00,-0.019608,50,8385
10006,A C F INDUSTRIES INC,1/31/1984 0:00,-0.0875,45.625,8385
10006,A C F INDUSTRIES INC,2/29/1984 0:00,0.054247,47.75,8385
10006,A C F INDUSTRIES INC,3/31/1984 0:00,0.068063,51,8385
10006,A C F INDUSTRIES INC,4/30/1984 0:00,0.031863,52.625,8385
10006,A C F INDUSTRIES INC,5/31/1984 0:00,0,52.625,8385
10006,A C F INDUSTRIES INC,6/30/1984 0:00,0.035629,,8405
10014,A J INDUSTRIES INC,1/31/1975 0:00,0.333333,1.5,5077
10014,A J INDUSTRIES INC,2/28/1975 0:00,0.083333,1.625,5077
10014,A J INDUSTRIES INC,3/31/1975 0:00,0.076923,1.75,5077
10014,A J INDUSTRIES INC,4/30/1975 0:00,0.071429,1.875,5077
10014,A J INDUSTRIES INC,5/31/1975 0:00,0,1.875,5077
10014,A J INDUSTRIES INC,6/30/1975 0:00,0.266667,2.375,5019
10014,A J INDUSTRIES INC,7/31/1975 0:00,0.157895,2.75,5019
10014,A J INDUSTRIES INC,8/31/1975 0:00,-0.090909,2.5,5019
10014,A J INDUSTRIES INC,9/30/1975 0:00,-0.1,2.25,5019
10014,A J INDUSTRIES INC,10/31/1975 0:00,-0.166667,1.875,5019
10014,A J INDUSTRIES INC,11/30/1975 0:00,0.133333,2.125,5019
10014,A J INDUSTRIES INC,12/31/1975 0:00,-0.117647,1.875,5019
10014,A J INDUSTRIES INC,1/31/1976 0:00,0.4,2.625,5019
10014,A J INDUSTRIES INC,2/29/1976 0:00,0.428571,3.75,5019
10014,A J INDUSTRIES INC,3/31/1976 0:00,-0.233333,2.875,5019
10014,A J INDUSTRIES INC,4/30/1976 0:00,0,2.875,5019
10014,A J INDUSTRIES INC,5/31/1976 0:00,-0.086957,2.625,5019
10014,A J INDUSTRIES INC,6/30/1976 0:00,0.190476,3.125,5019
10014,A J INDUSTRIES INC,7/31/1976 0:00,-0.08,2.875,5019
10014,A J INDUSTRIES INC,8/31/1976 0:00,0.086957,3.125,5019
10014,A J INDUSTRIES INC,9/30/1976 0:00,0.12,3.5,5019
10014,A J INDUSTRIES INC,10/31/1976 0:00,0.107143,3.875,5019
10014,A J INDUSTRIES INC,11/30/1976 0:00,-0.032258,3.75,5019
10014,A J INDUSTRIES INC,12/31/1976 0:00,0.2,4.5,5019
10014,A J INDUSTRIES INC,1/31/1977 0:00,-0.027778,4.375,5019
10014,A J INDUSTRIES INC,2/28/1977 0:00,0.028571,4.5,5019
10014,A J INDUSTRIES INC,3/31/1977 0:00,0.055556,4.75,5019
10014,A J INDUSTRIES INC,4/30/1977 0:00,0.052632,,5019
10028,AMERICAN PACIFIC MINT INC,3/31/1992 0:00,0.419355,2.75,5548
10028,AMERICAN PACIFIC MINT INC,4/30/1992 0:00,-0.170455,2.28125,5548
10028,AMERICAN PACIFIC MINT INC,5/31/1992 0:00,-0.205479,1.8125,5548
10028,AMERICAN PACIFIC MINT INC,6/30/1992 0:00,-0.206897,1.4375,5632
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1992 0:00,0.108696,1.59375,5632
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1992 0:00,0.019608,1.625,5632
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1992 0:00,0.076923,1.75,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1992 0:00,-0.035714,1.6875,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1992 0:00,-0.185185,1.375,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1992 0:00,0,1.375,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1993 0:00,0,1.375,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1993 0:00,-0.090909,1.25,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1993 0:00,-0.1,1.125,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1993 0:00,0.388889,1.5625,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1993 0:00,0.2,1.875,5626
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1993 0:00,-0.133333,1.625,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1993 0:00,0.192308,1.9375,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1993 0:00,-0.032258,1.875,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1993 0:00,-0.066667,1.75,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1993 0:00,0.25,2.1875,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1993 0:00,-0.142857,1.875,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1993 0:00,0.3,2.4375,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1994 0:00,0.076923,2.625,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1994 0:00,0.119048,2.9375,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1994 0:00,-0.170213,2.4375,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1994 0:00,0.128205,2.75,5566
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1994 0:00,-0.159091,2.3125,5871
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1994 0:00,-0.027027,2.25,5871
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1994 0:00,-0.111111,2,5871
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1994 0:00,-0.03125,1.9375,5866
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1994 0:00,0.16129,2.25,5866
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1994 0:00,0,2.25,5866
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1994 0:00,0.055556,2.375,5866
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1994 0:00,-0.052632,2.25,5834
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1995 0:00,-0.222222,1.75,5834
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1995 0:00,0.071429,1.875,5834
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1995 0:00,0.066667,2,5854
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1995 0:00,-0.1875,1.625,5854
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1995 0:00,0.153846,1.875,5883
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1995 0:00,-0.166667,1.5625,5883
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1995 0:00,-0.12,1.375,5883
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1995 0:00,0,1.375,5883
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1995 0:00,-0.022727,1.34375,5873
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1995 0:00,-0.116279,1.1875,5873
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1995 0:00,-0.052632,1.125,5873
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1995 0:00,0.111111,1.25,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1996 0:00,0,1.25,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/29/1996 0:00,0.2,1.5,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1996 0:00,-0.083333,1.375,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1996 0:00,0,1.375,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1996 0:00,0.363636,1.875,5830
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1996 0:00,-0.233333,1.4375,5821
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1996 0:00,-0.086957,1.3125,5821
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1996 0:00,-0.166667,1.09375,5821
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1996 0:00,0.085714,1.1875,5821
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1996 0:00,-0.157895,1,5796
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1996 0:00,0.125,1.125,5796
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1996 0:00,-0.055556,1.0625,5796
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1997 0:00,0.294118,1.375,5796
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1997 0:00,0,1.375,5796
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1997 0:00,-0.045455,1.3125,4420
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1997 0:00,-0.047619,1.25,4420
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1997 0:00,0.3,1.625,4420
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1997 0:00,0.076923,1.75,4420
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1997 0:00,0.214286,2.125,4367
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1997 0:00,-0.088235,1.9375,4367
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1997 0:00,0.032258,2,4367
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1997 0:00,0.25,2.5,4338
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1997 0:00,-0.125,2.1875,4338
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1997 0:00,0.257143,2.75,4338
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1998 0:00,0.022727,2.8125,4338
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1998 0:00,-0.022222,2.75,4338
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1998 0:00,-0.090909,2.5,4151
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1998 0:00,0.05,2.625,4151
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1998 0:00,0.047619,2.75,4151
10028,DALLAS GOLD & SILVER EXCHANGE IN,6/30/1998 0:00,-0.136364,2.375,4151
10028,DALLAS GOLD & SILVER EXCHANGE IN,7/31/1998 0:00,0.131579,2.6875,4171
10028,DALLAS GOLD & SILVER EXCHANGE IN,8/31/1998 0:00,0,2.6875,4171
10028,DALLAS GOLD & SILVER EXCHANGE IN,9/30/1998 0:00,-0.069767,2.5,4171
10028,DALLAS GOLD & SILVER EXCHANGE IN,10/31/1998 0:00,-0.2,2,4171
10028,DALLAS GOLD & SILVER EXCHANGE IN,11/30/1998 0:00,0.28125,2.5625,4160
10028,DALLAS GOLD & SILVER EXCHANGE IN,12/31/1998 0:00,0.487805,3.8125,4160
10028,DALLAS GOLD & SILVER EXCHANGE IN,1/31/1999 0:00,0.147541,4.375,4160
10028,DALLAS GOLD & SILVER EXCHANGE IN,2/28/1999 0:00,-0.428571,2.5,4160
10028,DALLAS GOLD & SILVER EXCHANGE IN,3/31/1999 0:00,0.6,4,4195
10028,DALLAS GOLD & SILVER EXCHANGE IN,4/30/1999 0:00,-0.28125,2.875,4195
10028,DALLAS GOLD & SILVER EXCHANGE IN,5/31/1999 0:00,0.391304,4,4179
10028,D G S E COMPANIES INC,10/31/2007 0:00,0.661944,5.8999,9900
10028,D G S E COMPANIES INC,11/30/2007 0:00,-0.093205,5.35,9900
10028,D G S E COMPANIES INC,12/31/2007 0:00,-0.018692,5.25,9900
10028,D G S E COMPANIES INC,1/31/2008 0:00,-0.104762,4.7,9900
10028,D G S E COMPANIES INC,2/29/2008 0:00,0.148936,5.4,9900
10028,D G S E COMPANIES INC,3/31/2008 0:00,-0.066667,5.04,9900
10028,D G S E COMPANIES INC,4/30/2008 0:00,-0.198413,4.04,9938
10028,D G S E COMPANIES INC,5/31/2008 0:00,0.068564,4.317,9499
10028,D G S E COMPANIES INC,6/30/2008 0:00,-0.323604,2.92,9499
10028,D G S E COMPANIES INC,7/31/2008 0:00,0.163767,3.3982,9759
10028,D G S E COMPANIES INC,8/31/2008 0:00,-0.073039,3.15,9834
10028,D G S E COMPANIES INC,9/30/2008 0:00,-0.184127,2.57,9834
10028,D G S E COMPANIES INC,10/31/2008 0:00,-0.33463,1.71,9834
10028,D G S E COMPANIES INC,11/30/2008 0:00,-0.269006,1.25,9834
